date_from,date_to,guests_min,guests_max,room,meal,price_per_night,currency,notes
2026-05-01,2026-06-30,1,4,Домик Эконом,без питания,2000,₽,Сезон 01.05–30.06
2026-07-01,2026-08-31,1,4,Домик Эконом,без питания,2000,₽,Сезон 01.07–31.08
2026-09-01,2026-10-31,1,4,Домик Эконом,без питания,2000,₽,Сезон 01.09–31.10
2026-05-01,2026-06-30,1,4,Стандарт,без питания,3000,₽,Сезон 01.05–30.06
2026-07-01,2026-08-31,1,4,Стандарт,без питания,3500,₽,Сезон 01.07–31.08
2026-09-01,2026-10-31,1,4,Стандарт,без питания,3000,₽,Сезон 01.09–31.10
2026-05-01,2026-06-30,4,6,Двухкомнатный номер,без питания,5500,₽,Сезон 01.05–30.06
2026-07-01,2026-08-31,4,6,Двухкомнатный номер,без питания,7000,₽,Сезон 01.07–31.08
2026-09-01,2026-10-31,4,6,Двухкомнатный номер,без питания,5500,₽,Сезон 01.09–31.10
2026-05-01,2026-06-30,2,4,Номер с кухней,без питания,5500,₽,Сезон 01.05–30.06
2026-07-01,2026-08-31,2,4,Номер с кухней,без питания,7000,₽,Сезон 01.07–31.08
2026-09-01,2026-10-31,2,4,Номер с кухней,без питания,5500,₽,Сезон 01.09–31.10
2026-05-01,2026-06-30,1,6,Номер Большой с кухней,без питания,5500,₽,Сезон 01.05–30.06
2026-07-01,2026-08-31,1,6,Номер Большой с кухней,без питания,7000,₽,Сезон 01.07–31.08
2026-09-01,2026-10-31,1,6,Номер Большой с кухней,без питания,5500,₽,Сезон 01.09–31.10
2026-01-01,2026-12-31,0,10,Доп. человек,без питания,800,₽,Наценка за каждого дополнительного гостя за ночь
