Тип номера;Период с;Период по;Гостей от;Гостей до;Питание;Цена за ночь;Валюта;Примечание
Домик Эконом;2026-05-01;2026-06-30;1;4;без питания;2000;₽;Сезон 01.05–30.06
Домик Эконом;2026-07-01;2026-08-31;1;4;без питания;2000;₽;Сезон 01.07–31.08
Домик Эконом;2026-09-01;2026-10-31;1;4;без питания;2000;₽;Сезон 01.09–31.10
Стандарт;2026-05-01;2026-06-30;1;4;без питания;3000;₽;Сезон 01.05–30.06
Стандарт;2026-07-01;2026-08-31;1;4;без питания;3500;₽;Сезон 01.07–31.08
Стандарт;2026-09-01;2026-10-31;1;4;без питания;3000;₽;Сезон 01.09–31.10
Двухкомнатный номер;2026-05-01;2026-06-30;4;6;без питания;5500;₽;Сезон 01.05–30.06
Двухкомнатный номер;2026-07-01;2026-08-31;4;6;без питания;7000;₽;Сезон 01.07–31.08
Двухкомнатный номер;2026-09-01;2026-10-31;4;6;без питания;5500;₽;Сезон 01.09–31.10
Номер с кухней;2026-05-01;2026-06-30;2;4;без питания;5500;₽;Сезон 01.05–30.06
Номер с кухней;2026-07-01;2026-08-31;2;4;без питания;7000;₽;Сезон 01.07–31.08
Номер с кухней;2026-09-01;2026-10-31;2;4;без питания;5500;₽;Сезон 01.09–31.10
Номер Большой с кухней;2026-05-01;2026-06-30;1;6;без питания;5500;₽;Сезон 01.05–30.06
Номер Большой с кухней;2026-07-01;2026-08-31;1;6;без питания;7000;₽;Сезон 01.07–31.08
Номер Большой с кухней;2026-09-01;2026-10-31;1;6;без питания;5500;₽;Сезон 01.09–31.10
Доп. человек;2026-01-01;2026-12-31;0;10;без питания;800;₽;Наценка за каждого дополнительного гостя за ночь
